company_id,statement_date,total_net_sales,cost_of_revenue,gross_profit,marketing_expense,research_and_development_expenses,general_and_administrative_expenses,total_operating_expenses,operating_income,interest_expense,non-operating_income,income_before_taxes,income_tax_expense,net_income,basic,diluted,basic.1,diluted.1,revenue,selling_general_and_administrative_expenses,cost_goods_and_services_sold
2832,2023-12-31,1893900000.0,,451000000.0,,24500000.0,,,205300000.0,50900000.0,8900000.0,163800000.0,60300000.0,103500000.0,1.75,1.73,58995000.0,59980000.0,,221900000.0,1442900000.0
2833,2023-03-31,,,17511000.0,,1852000.0,19487000.0,33496000.0,-15985000.0,,-378000.0,-16363000.0,17978000.0,-34341000.0,-1.08,-1.08,31703712.0,31703712.0,77383000.0,,59872000.0
2834,2023-12-31,,,,,,,,,88010000.0,,265248000.0,83376000.0,181872000.0,3.85,3.83,47258000.0,47552000.0,0.0,,
2835,2023-12-31,746641000.0,,486273000.0,,80231000.0,144659000.0,,-139110000.0,,,-148679000.0,2716000.0,-151395000.0,-4.12,-4.12,36729258.0,36729258.0,,,260368000.0
2836,2023-12-31,111465000.0,,68365000.0,,433000.0,17705000.0,,25799000.0,,,27545000.0,6825000.0,20763000.0,2.06,2.06,10094000.0,10094000.0,,,43100000.0
2837,2023-12-31,,,,,,,,,19482000.0,,,,-465000.0,1.5,1.5,13398078.0,13398078.0,,,
2838,2023-12-31,,,,,,,1112400000.0,650200000.0,221400000.0,44200000.0,473000000.0,56200000.0,416800000.0,2.08,2.07,200300000.0,200900000.0,2674300000.0,148300000.0,911700000.0
2839,2023-12-31,,,,,,,,,527000000.0,,673000000.0,-350000000.0,1023000000.0,4.01,3.99,255239000.0,256270000.0,6263000000.0,1893000000.0,2515000000.0
2840,2023-12-31,,,,,,,,377590000.0,115339000.0,,271727000.0,40495000.0,231232000.0,4.16,4.14,55600000.0,55860000.0,,,1134510000.0
2841,2023-12-31,,,,,,81504000.0,793580000.0,,,,,6255000.0,,1.01,1.0,240493000.0,250451000.0,949740000.0,,
2842,2023-12-31,,,1496000000.0,,92000000.0,,,67000000.0,342000000.0,,,152000000.0,-103000000.0,-0.67,-0.67,154651000.0,154651000.0,,540000000.0,5609000000.0
2843,2023-12-31,,,398971000.0,,,,,181328000.0,36523000.0,,,63652000.0,,0.97,0.95,100697000.0,102156000.0,2424706000.0,217643000.0,2025735000.0
2844,2023-12-31,782283000.0,,,,4500000.0,,,23164000.0,9570000.0,,15824000.0,2933000.0,12891000.0,0.2,0.2,62690000.0,63152000.0,,94185000.0,606888000.0
2845,2023-12-31,17677000000.0,11929000000.0,,,,,,4072000000.0,866000000.0,,3497000000.0,838000000.0,,5.49,5.48,484300000.0,485400000.0,,,
2846,2024-01-31,2263000000.0,,1682000000.0,,656000000.0,450000000.0,2198000000.0,-516000000.0,8000000.0,,-337000000.0,18000000.0,-355000000.0,-2.17,-2.17,163634000.0,163634000.0,,,581000000.0
2847,2023-12-31,,,,,,7078947.0,54049659.0,-23478022.0,148483.0,204083.0,-23273939.0,,-23180663.0,-0.65,-0.65,15203708.0,15203708.0,30571637.0,,
2848,2023-12-31,,,441053000.0,,130481000.0,,223864000.0,217189000.0,,27982000.0,245171000.0,42160000.0,203011000.0,4.25,4.24,47559669.0,47622763.0,576429000.0,67387000.0,135376000.0
2849,2024-02-03,2102662000.0,,832365000.0,,,,,227799000.0,,,242485000.0,61046000.0,181439000.0,2.94,2.92,61741000.0,62068000.0,,562672000.0,1270297000.0
2850,2023-12-31,,,,,86140000.0,18821000.0,104961000.0,-104961000.0,,8306000.0,,2000.0,-96655000.0,-2.14,-2.14,45247098.0,45247098.0,,,
2851,2023-12-31,6833000000.0,,,,,,,712100000.0,181100000.0,,559300000.0,107300000.0,452000000.0,3.66,3.57,125900000.0,128800000.0,,406700000.0,5667500000.0
