company_id,statement_date,net_income,depreciation_and_amortization,stock_based_compensation,foreign_currency_transaction_gain_or_loss,other_noncash_income_or_expense,changes_in_other_current_assets,changes_in_accounts_payable,changes_in_inventories,changes_in_deferred_revenue,net_cash_provided_by_operating_activities,purchases_of_marketable_securities,proceeds_from_maturities_of_marketable_securities,proceeds_from_sale_of_marketable_securities,purchases_of_property_and_plant_and_equipment,payments_to_acquire_investments,payments_to_acquire_businesses,deferred_revenue,other_investing_activities,net_cash_provided_by_investing_activities,payments_of_tax_for_share_based_compensation,dividends_paid,repurchases_of_common_stock,proceeds_from_issuance_of_common_stock,repayments_of_long_term_debt,net_cash_provided_by_financing_activities,changes_in_cash_and_cash_equivalents_and_restricted_cash,cash_and_cash_equivalents_and_restricted_cash
1065,2023-12-31,49411000.0,17630000.0,3846000.0,,,,-44079000.0,-15000000.0,,38276000.0,,,,19696000.0,,,,,-19696000.0,,,,,,-12729000.0,6023000.0,37848000.0
1066,2023-10-31,-8344000.0,17282000.0,5210000.0,-1800000.0,,,,989000.0,,-14466000.0,,,,10694000.0,,,,,-10694000.0,,,,,,24878000.0,-282000.0,2852000.0
1067,2023-12-31,769000000.0,298000000.0,34000000.0,,-2000000.0,,,-15000000.0,-24000000.0,948000000.0,,,,,,,-24000000.0,,-239000000.0,,453000000.0,0.0,,0.0,-40000000.0,669000000.0,1186000000.0
1068,2023-12-31,16385077.0,,,,,,,,,-18285666.0,,,,,,,,,827201022.0,,,816281045.0,,,-808281045.0,634311.0,4869699.0
1069,2023-12-31,-8357086.0,,710381.0,,,,-237578.0,,,-3530323.0,,,,3254.0,,,,,-3254.0,,,,,,11903491.0,,8402500.0
1070,2023-12-31,55229000.0,,7100000.0,,,,,317000.0,,84841000.0,,,,217607000.0,,107934000.0,,,-235921000.0,4792000.0,5781000.0,25430000.0,,,84709000.0,-66371000.0,
1071,2023-03-31,-35774000.0,10323000.0,105746000.0,-1163000.0,,,-297000.0,,73756000.0,170288000.0,,,,3241000.0,,0.0,73756000.0,0.0,-5286000.0,,,150921000.0,,,-135579000.0,20271000.0,287778000.0
1072,2023-12-31,24973000.0,,1260000.0,,,,,,,22071000.0,36256000.0,31754000.0,4253000.0,2101000.0,,,,,-78362000.0,158000.0,,0.0,-548000.0,0.0,-30457000.0,,33691000.0
1073,2023-12-31,450000000.0,,73000000.0,,,,,-711000000.0,,803000000.0,,,,87000000.0,,7000000.0,,,31000000.0,15000000.0,,,,,-868000000.0,-34000000.0,594000000.0
1074,2023-12-31,-41199000.0,,6303000.0,,,,165000.0,4026000.0,,-39021000.0,,,,591000.0,,,,,-591000.0,,,,,,23984000.0,-15625000.0,90569000.0
1075,2023-12-31,8344000000.0,4366000000.0,588000000.0,,-416000000.0,,3618000000.0,-1233000000.0,,13426000000.0,,,5031000000.0,3031000000.0,9043000000.0,16612000000.0,,-68000000.0,-20889000000.0,181000000.0,3132000000.0,2012000000.0,,3166000000.0,2683000000.0,-4780000000.0,8525000000.0
1076,2023-12-31,-4180000.0,,908000.0,42000.0,,47000.0,-154000.0,1921000.0,866000.0,-206000.0,,,,418000.0,,,866000.0,,-133000.0,,,,,77000.0,-1000.0,-340000.0,
1077,2023-12-31,21369000000.0,17326000000.0,,,-1038000000.0,,,320000000.0,,35609000000.0,,,,,,-55000000.0,,,-15232000000.0,,,14939000000.0,,,-30109000000.0,-9846000000.0,9275000000.0
1078,2023-12-31,354509000.0,,16803000.0,,,,,21568000.0,,448089000.0,,,,44666000.0,0.0,0.0,,,-35519000.0,,,50141000.0,,,-273403000.0,149893000.0,406867000.0
1079,2023-12-31,-21627000.0,9929000.0,104447000.0,700000.0,,,-115000.0,,,84602000.0,124178000.0,31801000.0,5950000.0,5624000.0,,0.0,,,-95055000.0,20784000.0,,0.0,0.0,,-19291000.0,-28959000.0,
1080,2023-12-31,25536000.0,891000.0,858000.0,,,,,,,27852000.0,0.0,38229000.0,26361000.0,9806000.0,,,,,24194000.0,,6963000.0,1000.0,,,-29488000.0,,53728000.0
1081,2023-12-31,29585391.0,,1933666.0,84678.0,,,,891405.0,,7970762.0,,,,5047884.0,,3419916.0,,,-10887019.0,,,,,135481.0,-5524565.0,,42621898.0
1082,2023-12-31,-12703000.0,,,,,,,,,-18720000.0,,,,,,,,,-5364000.0,,,,,,25790000.0,1706000.0,17640000.0
1083,2023-12-31,79000000.0,526000000.0,,,,,,,,702000000.0,,,,212000000.0,,0.0,,-4000000.0,-523000000.0,,,,,1349000000.0,-124000000.0,55000000.0,1051000000.0
1084,2023-12-31,31044000.0,,24086000.0,,,,,-200940000.0,-6796000.0,310807000.0,,,,,,209459000.0,-6796000.0,,-369406000.0,6861000.0,66831000.0,0.0,,,-31885000.0,-90484000.0,
1085,2023-12-31,-35400000.0,145600000.0,54100000.0,-12500000.0,-16700000.0,,,,,152200000.0,,,,51000000.0,,0.0,,-6800000.0,48900000.0,8100000.0,,,,2405000000.0,-120800000.0,,801200000.0
1086,2023-12-31,25399000.0,170705000.0,9084000.0,,,,41592000.0,,,233092000.0,,,,154907000.0,,851839000.0,,,-1005636000.0,,,,496231000.0,,922304000.0,149760000.0,220912000.0
1087,2023-12-31,51911000.0,123124000.0,2993000.0,,,,9896000.0,,,217817000.0,,,,,,175000.0,,,-389419000.0,,,1844000.0,115106000.0,1811000.0,171543000.0,-59000.0,84966000.0
1088,2022-12-31,17634910.0,,,,,,,,,-761098.0,,,,,,,,,275333780.0,,,275102280.0,,,-274754319.0,-181637.0,224489.0
1089,2023-12-31,-362000.0,404000.0,3849000.0,21000.0,,,,297000.0,-997000.0,3499000.0,,,,92000.0,,0.0,-997000.0,,3700000.0,,130000.0,,,,-2306000.0,4872000.0,10347000.0
1090,2024-01-31,51403000.0,15466000.0,55757000.0,,-107000.0,,3325000.0,,49813000.0,71465000.0,604648000.0,,,8548000.0,,0.0,49813000.0,,-110570000.0,,,26684000.0,,,24086000.0,-15958000.0,172429000.0
1091,2023-12-31,188300000.0,77600000.0,10300000.0,,,,-6800000.0,1000000.0,,276300000.0,,,,31100000.0,,,,,-31100000.0,,23700000.0,,,300000000.0,-252500000.0,-3500000.0,227200000.0
1092,2023-12-31,,,20760000.0,,,,,,,231901000.0,,,,,,,,-313000.0,-58874000.0,,131000.0,43047000.0,,9895000.0,-206236000.0,,
1093,2023-12-31,-22600000.0,,1473000.0,-414000.0,,,,,,-16112000.0,,,,6000.0,,,,,-6000.0,,,,,,848000.0,-14967000.0,3378000.0
